"Source","Target","Type"
"4310943263","831814679706087424","directed"
"6523872","529256992","directed"
"96842110","1667841438","directed"
"96842110","2214719151","directed"
"96842110","49386593","directed"
"750852710","376253021","directed"
"750852710","250558059","directed"
"1926235711","250558059","directed"
"1381834524","457582431","directed"
"27436295","2543214114","directed"
"84055536","1117790442","directed"
"384748745","490720843","directed"
"63461239","53151026","directed"
"3081667534","831814679706087424","directed"
"1569018049","250558059","directed"
"2411576834","214008538","directed"
"2854488851","519036960","directed"
"964077974","501666080","directed"
"941401","2785237306","directed"
"2785367814","1284392876","directed"
"2785367814","2776117148","directed"
"1667841438","2214719151","directed"
"1667841438","49386593","directed"
"840133502976774146","529256992","directed"
"772100325784317952","932747438","directed"
"928981200152166405","159796963","directed"
"504099308","831814679706087424","directed"
"369689042","250558059","directed"
"369689042","533163305","directed"
"37949399","2543214114","directed"
"37949399","772100325784317952","directed"
"400234197","750286186392977409","directed"
"400234197","706852789792710656","directed"
"706852789792710656","720219120067821568","directed"
"706852789792710656","706852789792710656","directed"
"3300459346","750286186392977409","directed"
"3300459346","3300459346","directed"
"3300459346","894447139933343744","directed"
"2420832553","1284392876","directed"
"2420832553","831814679706087424","directed"
"219522049","4008445576","directed"
"219522049","831814679706087424","directed"
"4263939081","21848601","directed"
"2799651442","263559225","directed"
"4704484461","416361675","directed"
"4704484461","866763833309892609","directed"
"2917823309","917348214449360896","directed"
"385614098","1421172834","directed"
"385614098","533163305","directed"
"1048202250","529256992","directed"
"2941294144","55117855","directed"
"48400074","529256992","directed"
"592759276","3198095872","directed"
"4482641554","4482641554","directed"
"876712760918380544","21848601","directed"
"47579868","720219120067821568","directed"
"47579868","2152668890","directed"
"259945589","503529895","directed"
"279093831","831814679706087424","directed"
"4567815741","421912290","directed"
"4567815741","2776117148","directed"
"4567815741","3805444043","directed"
"2382676952","720219120067821568","directed"
"49386593","529256992","directed"
"896079211","214008538","directed"
"17557482","101755795","directed"
"964467200","161471794","directed"
"733618225","250558059","directed"
"6244722","1341685472","directed"
"2289869460","52341962","directed"
"1396817462","1133456036","directed"
"773489936687304704","533163305","directed"
"877052272085262336","101755795","directed"
"995289067","533163305","directed"
"448779526","533163305","directed"
"2597796918","501666080","directed"
"1368096319","259301275","directed"
"126617387","52341962","directed"
"345310708","21848601","directed"
"254022966","277007578","directed"
"254022966","250558059","directed"
"274886363","38632947","directed"
"840921957021433856","3065982022","directed"
"435624891","277007578","directed"
"435624891","250558059","directed"
"2347495914","720219120067821568","directed"
"2347495914","2152668890","directed"
"884751439347810305","490720843","directed"
"752948093503635456","932747438","directed"
"2152668890","720219120067821568","directed"
"2152668890","2152668890","directed"
"1760561","250558059","directed"
"1241108911","491663397","directed"
"1241108911","503529895","directed"
"1241108911","17557482","directed"
"709333678925750273","533163305","directed"
"709333678925750273","21084942","directed"
"709333678925750273","831814679706087424","directed"
"826861508613328906","259301275","directed"
"2168094626","501666080","directed"
"1491426895","501666080","directed"
"2336883944","750286186392977409","directed"
"968393501863043072","2152668890","directed"
"2909775886","831814679706087424","directed"
"42596147","720219120067821568","directed"
"42596147","706852789792710656","directed"
"42596147","1734421802","directed"
"42596147","46347027","directed"
"42596147","4777269747","directed"
"2796546986","872436119081816065","directed"
"2796546986","702786126","directed"
"928279705408688128","55078954","directed"
"2601723926","57320656","directed"
"2601723926","831814679706087424","directed"
"2460007706","38632947","directed"
"371233160","4446987376","directed"
"943758324545277952","3805444043","directed"
"3213584487","4162410142","directed"
"629155988","4008445576","directed"
"629155988","831814679706087424","directed"
"311649295","932747438","directed"
"311649295","59805032","directed"
"311649295","1117790442","directed"
"583569338","57320656","directed"
"1097837820","4482641554","directed"
"1097837820","4482641554","directed"
"875608641981698049","1121945502","directed"
"3097680891","583569338","directed"
"277007578","250558059","directed"
"38441464","491663397","directed"
"38441464","2785237306","directed"
"38441464","1878886411","directed"
"2833657167","897492667260702721","directed"
"833223234","831814679706087424","directed"
"948243710","328994106","directed"
"130791303","583569338","directed"
"741764401494122496","807209252171513856","directed"
"930754078044491776","583569338","directed"
"23761309","38632947","directed"
"1576160984","4008445576","directed"
"1576160984","831814679706087424","directed"
"2576237882","2799651442","directed"
"2494307282","583569338","directed"
"114733185","2785237306","directed"
"3084459683","775647982754684928","directed"
"2308172222","2785237306","directed"
"1731470172","48400074","directed"
"1170404948","4008445576","directed"
"1170404948","831814679706087424","directed"
"434968866","4008445576","directed"
"434968866","831814679706087424","directed"
"895551406773485568","1284392876","directed"
"4363534095","259945589","directed"
"4075080083","831814679706087424","directed"
"4343558595","259945589","directed"
"799334329440698368","6244722","directed"
"29823416","4008445576","directed"
"29823416","831814679706087424","directed"
"2834179913","720219120067821568","directed"
"2834179913","706852789792710656","directed"
"1688883667","48400074","directed"
"1734421802","46347027","directed"
